rougher	deficit	deficit
pretty	forewings	forewings
prettier	!	!
prettiest	!	!
softer	!	!
soft	forewings	forewings
softest	!	!
soft	forewings	forewings
softer	!	!
softest	!	!
taller	!	!
tall	forewings	forewings
tallest	!	!
tall	deciduous	deciduous
taller	landmarks	landmarks
tallest	!	!
newer	!	!
new	historically	historically
newest	!	!
new	export	export
newer	beta	beta
newest	browser	browser
weaker	!	!
weak	capitalism	capitalism
weakest	!	!
weak	capitalism	capitalism
weaker	!	!
weakest	!	!
longer	!	!
long	dorsal	optical
longest	!	!
long	shoulder	shoulder
longer	length	length
longest	scope	scope
smarter	!	!
smart	capitalism	capitalism
smartest	!	!
smart	capitalism	capitalism
smarter	!	!
smartest	!	!
riskier	!	!
risky	capitalism	capitalism
riskiest	!	!
risky	capitalism	capitalism
riskier	!	!
riskiest	!	!
thicker	!	!
thick	marquess	marquess
thickest	!	!
thick	marquess	marquess
thicker	!	!
thickest	!	!
bloodier	!	!
bloody	marquess	marquess
bloodiest	!	!
bloody	marquess	marquess
bloodier	!	!
bloodiest	!	!
happier	!	!
happy	marquess	marquess
happiest	!	!
happy	marquess	marquess
happier	!	!
happiest	!	!
sharper	!	!
sharp	marquess	marquess
sharpest	!	!
sharp	marquess	marquess
sharper	!	!
sharpest	!	!
stronger	!	!
strong	1880s	1880s
strongest	!	!
strong	historically	historically
stronger	dominance	dominance
strongest	longer	longer
classier	!	!
classy	!	!
classiest	!	!
classy	brake	brake
classier	lawrence	lawrence
classiest	!	!
lighter	horse	horse
light	contained	equal
lightest	!	!
light	brake	brake
lighter	lawrence	lawrence
lightest	!	!
gentler	tall	tall
gentle	!	!
gentlest	!	!
gentle	brake	brake
gentler	lawrence	lawrence
gentlest	!	!
narrower	mud	stretches
narrow	!	!
narrowest	!	!
narrow	brake	brake
narrower	lawrence	lawrence
narrowest	!	!
livelier	lawrence	lawrence
lively	!	!
liveliest	!	!
lively	brake	brake
livelier	lawrence	lawrence
liveliest	!	!
savvier	!	!
savvy	jessie	jessie
savviest	!	!
savvy	jessie	jessie
savvier	!	!
savviest	!	!
livelier	!	!
lively	jessie	jessie
liveliest	!	!
lively	jessie	jessie
livelier	!	!
liveliest	!	!
harder	!	!
hard	ones	adequate
hardest	!	!
hard	jessie	jessie
harder	!	!
hardest	ones	ones
taller	!	!
tall	jessie	jessie
tallest	!	!
tall	plateau	plateau
taller	landmarks	landmarks
tallest	!	!
freer	!	!
free	jessie	jessie
freest	!	!
free	jessie	jessie
freer	!	!
freest	!	!
sadder	loving	loving
sad	!	!
saddest	loving	loving
sad	!	!
sadder	!	!
saddest	!	!
rougher	steep	steep
rough	!	!
roughest	steep	steep
rough	!	!
rougher	!	!
roughest	!	!
steeper	rocky	rocky
steep	!	!
steepest	rocky	rocky
steep	!	!
steeper	!	!
steepest	!	!
smarter	windows	windows
smart	!	!
smartest	windows	windows
smart	!	!
smarter	!	!
smartest	!	!
cleaner	renewable	renewable
clean	!	!
cleanest	renewable	renewable
clean	!	!
cleaner	!	!
cleanest	!	!
lighter	!	!
light	exported	exported
lightest	!	!
light	equity	equity
lighter	!	!
lightest	forewings	forewings
classier	!	!
classy	equity	equity
classiest	!	!
classy	equity	equity
classier	!	!
classiest	!	!
poorer	!	!
poor	equity	equity
poorest	!	!
poor	equity	equity
poorer	!	!
poorest	!	!
slower	!	!
slow	economy	economy
slowest	!	!
slow	equity	equity
slower	!	!
slowest	tuning	tuning
faster	!	!
fastest	equilibrium	competitive
fast	!	!
fastest	equity	phillips
faster	tide	tide
fast	slower	slower
classier	!	!
classy	convex	convex
classiest	!	!
classy	convex	convex
classier	!	!
classiest	!	!
simpler	!	!
simple	fungi	fungi
simplest	!	!
simple	convex	convex
simpler	!	!
simplest	equations	equations
meaner	!	!
mean	convex	convex
meanest	!	!
mean	convex	convex
meaner	!	!
meanest	!	!
mightier	!	!
mighty	convex	convex
mightiest	!	!
mighty	convex	convex
mightier	!	!
mightiest	!	!
cleaner	!	!
clean	convex	convex
cleanest	!	!
clean	convex	convex
cleaner	!	!
cleanest	!	!
louder	!	!
loud	winning	winning
loudest	!	!
loud	winning	winning
louder	!	!
loudest	!	!
newer	!	!
new	definitive	definitive
newest	!	!
new	designing	designing
newer	beta	beta
newest	browser	browser
cooler	!	!
cool	deciduous	deciduous
coolest	!	!
cool	winning	winning
cooler	!	!
coolest	humid	humid
narrower	!	!
narrow	winning	winning
narrowest	!	!
narrow	winning	winning
narrower	!	!
narrowest	!	!
busier	!	!
busy	winning	winning
busiest	!	!
busy	winning	winning
busier	!	!
busiest	!	!
gentler	!	!
gentle	centimeters	centimeters
gentlest	!	!
gentle	centimeters	centimeters
gentler	!	!
gentlest	!	!
fancier	!	!
fancy	centimeters	centimeters
fanciest	!	!
fancy	centimeters	centimeters
fancier	!	!
fanciest	!	!
noisier	!	!
noisy	centimeters	centimeters
noisiest	!	!
noisy	centimeters	centimeters
noisier	!	!
noisiest	!	!
smarter	!	!
smart	centimeters	centimeters
smartest	!	!
smart	centimeters	centimeters
smarter	!	!
smartest	!	!
trickier	!	!
tricky	centimeters	centimeters
trickiest	!	!
tricky	centimeters	centimeters
trickier	!	!
trickiest	!	!
tastier	!	!
tasty	'm	'm
tastiest	!	!
tasty	'm	'm
tastier	!	!
tastiest	!	!
easier	!	!
easy	geographically	geographically
easiest	!	!
easy	'm	'm
easier	!	!
easiest	freely	freely
mightier	!	!
mighty	'm	'm
mightiest	!	!
mighty	'm	'm
mightier	!	!
mightiest	!	!
fewer	!	!
few	enthusiastic	enthusiastic
fewest	!	!
few	'm	'm
fewer	!	!
fewest	average	average
trickier	!	!
tricky	'm	'm
trickiest	!	!
tricky	'm	'm
trickier	!	!
trickiest	!	!
thicker	!	!
thick	rocky	rocky
thickest	!	!
thick	rocky	rocky
thicker	!	!
thickest	!	!
earlier	!	!
early	canals	canals
earliest	!	!
early	sandstone	sandstone
earlier	attested	attested
earliest	ratios	pittsburgh
swifter	!	!
swift	rocky	rocky
swiftest	!	!
swift	rocky	rocky
swifter	!	!
swiftest	!	!
bigger	!	!
big	sandstone	sandstone
biggest	!	!
big	hiking	villages
bigger	memorable	memorable
biggest	viewer	viewer
deeper	!	!
deep	canals	canals
deepest	!	!
deep	rocky	rocky
deeper	!	!
deepest	depths	depths
tighter	!	!
tight	neutral	neutral
tightest	!	!
tight	neutral	neutral
tighter	!	!
tightest	!	!
wider	!	!
wide	implications	implications
widest	!	!
wide	neutral	neutral
wider	!	!
widest	white	white
prettier	!	!
pretty	neutral	neutral
prettiest	!	!
pretty	neutral	neutral
prettier	!	!
prettiest	!	!
older	!	!
old	attractive	attractive
oldest	!	!
old	sediment	sediment
older	erected	erected
oldest	ruins	ruins
wiser	!	!
wise	neutral	neutral
wisest	!	!
wise	neutral	neutral
wiser	!	!
wisest	!	!
milder	!	!
mild	holiday	holiday
mildest	!	!
mild	holiday	holiday
milder	!	!
mildest	!	!
prettier	!	!
pretty	holiday	holiday
prettiest	!	!
pretty	holiday	holiday
prettier	!	!
prettiest	!	!
narrower	!	!
narrow	holiday	holiday
narrowest	!	!
narrow	holiday	holiday
narrower	!	!
narrowest	!	!
stiffer	!	!
stiff	holiday	holiday
stiffest	!	!
stiff	holiday	holiday
stiffer	!	!
stiffest	!	!
older	!	!
old	fungi	fungi
oldest	!	!
old	ancestral	ritual
older	erected	erected
oldest	ruins	ruins
steadier	!	!
steady	steep	steep
steadiest	!	!
steady	steep	steep
steadier	!	!
steadiest	!	!
fairer	!	!
fair	steep	steep
fairest	!	!
fair	steep	steep
fairer	!	!
fairest	!	!
smarter	!	!
smart	steep	steep
smartest	!	!
smart	steep	steep
smarter	!	!
smartest	!	!
sharper	!	!
sharp	steep	steep
sharpest	!	!
sharp	steep	steep
sharper	!	!
sharpest	!	!
deeper	!	!
deep	aquarium	aquarium
deepest	!	!
deep	steep	steep
deeper	!	!
deepest	depths	depths
bloodier	!	!
bloody	shed	shed
bloodiest	!	!
bloody	shed	shed
bloodier	!	!
bloodiest	!	!
quicker	!	!
quick	shed	shed
quickest	!	!
quick	shed	shed
quicker	!	!
quickest	!	!
narrower	!	!
narrow	shed	shed
narrowest	!	!
narrow	shed	shed
narrower	!	!
narrowest	!	!
savvier	!	!
savvy	shed	shed
savviest	!	!
savvy	shed	shed
savvier	!	!
savviest	!	!
stronger	!	!
strong	repairs	repairs
strongest	!	!
strong	principle	principle
stronger	dominance	dominance
strongest	longer	longer
better	!	!
good	caring	caring
best	!	!
good	performance	performance
better	awards	awards
best	ideal	ideal
slicker	!	!
slick	forewings	forewings
slickest	!	!
slick	forewings	forewings
slicker	!	!
slickest	!	!
friendlier	!	!
friendly	forewings	forewings
friendliest	!	!
friendly	forewings	forewings
friendlier	!	!
friendliest	!	!
bigger	!	!
big	texture	texture
biggest	!	!
big	perennial	optical
bigger	memorable	memorable
biggest	viewer	viewer
stronger	!	!
strong	useful	useful
strongest	!	!
strong	dominance	dominance
stronger	dominance	dominance
strongest	longer	longer
milder	!	!
mild	colorful	colorful
mildest	!	!
mild	colorful	colorful
milder	!	!
mildest	!	!
faster	!	!
fastest	designing	designing
fast	!	!
fastest	fastest	fastest
faster	tide	tide
fast	slower	slower
busier	!	!
busy	colorful	colorful
busiest	!	!
busy	colorful	colorful
busier	!	!
busiest	!	!
luckier	!	!
lucky	colorful	colorful
luckiest	!	!
lucky	colorful	colorful
luckier	!	!
luckiest	!	!
wiser	!	!
wise	colorful	colorful
wisest	!	!
wise	colorful	colorful
wiser	!	!
wisest	!	!
lighter	propeller	plaster
light	forewings	forewings
lightest	propeller	plaster
light	!	!
lighter	!	!
lightest	forewings	forewings
healthier	reproductive	reproductive
healthy	!	!
healthiest	reproductive	reproductive
healthy	!	!
healthier	!	!
healthiest	!	!
costlier	limited	limited
costly	!	!
costliest	limited	limited
costly	!	!
costlier	!	!
costliest	!	!
meaner	maximum	maximum
mean	!	!
meanest	maximum	maximum
mean	!	!
meaner	!	!
meanest	!	!
older	one-third	one-third
old	ruins	ruins
oldest	one-third	one-third
old	erected	erected
older	erected	erected
oldest	ruins	ruins
louder	!	!
loud	livery	livery
loudest	!	!
loud	livery	livery
louder	!	!
loudest	!	!
tougher	!	!
tough	livery	livery
toughest	!	!
tough	livery	livery
tougher	!	!
toughest	!	!
darker	!	!
dark	dorsal	dorsal
darkest	!	!
dark	livery	livery
darker	!	!
darkest	forewings	forewings
easier	!	!
easy	bottom	dominance
easiest	!	!
easy	livery	livery
easier	!	!
easiest	freely	freely
trickier	!	!
tricky	livery	livery
trickiest	!	!
tricky	livery	livery
trickier	!	!
trickiest	!	!
larger	!	!
large	bias	bias
largest	!	!
large	wetland	optical
larger	freshwater	freshwater
largest	smaller	smaller
tastier	!	!
tasty	allmusic	allmusic
tastiest	!	!
tasty	allmusic	allmusic
tastier	!	!
tastiest	!	!
healthier	!	!
healthy	allmusic	allmusic
healthiest	!	!
healthy	allmusic	allmusic
healthier	!	!
healthiest	!	!
faster	!	!
fastest	optical	optical
fast	!	!
fastest	optical	optical
faster	tide	tide
fast	slower	slower
noisier	!	!
noisy	allmusic	allmusic
noisiest	!	!
noisy	allmusic	allmusic
noisier	!	!
noisiest	!	!
smaller	!	!
small	diameter	consumption
smallest	!	!
small	endemic	aids
smaller	rows	rows
smallest	greater	greater
fuller	!	!
full	hiv	aquarium
fullest	!	!
full	reproductive	reproductive
fuller	!	!
fullest	lawrence	lawrence
younger	!	!
young	spends	aids
youngest	!	!
young	useful	useful
younger	1795	1795
youngest	grandchildren	grandchildren
smarter	!	!
smart	reproductive	reproductive
smartest	!	!
smart	reproductive	reproductive
smarter	!	!
smartest	!	!
deeper	!	!
deep	aquarium	aquarium
deepest	!	!
deep	reproductive	reproductive
deeper	!	!
deepest	depths	depths
classier	!	!
classy	maximum	maximum
classiest	!	!
classy	maximum	maximum
classier	!	!
classiest	!	!
stickier	!	!
sticky	maximum	maximum
stickiest	!	!
sticky	maximum	maximum
stickier	!	!
stickiest	!	!
happier	!	!
happy	maximum	maximum
happiest	!	!
happy	maximum	maximum
happier	!	!
happiest	!	!
poorer	!	!
poor	maximum	maximum
poorest	!	!
poor	maximum	maximum
poorer	!	!
poorest	!	!
softer	!	!
soft	maximum	maximum
softest	!	!
soft	maximum	maximum
softer	!	!
softest	!	!
higher	!	!
high	physics	container
highest	!	!
high	theoretical	theoretical
higher	primera	primera
highest	averages	averages
thinner	!	!
thin	joke	joke
thinnest	!	!
thin	joke	joke
thinner	!	!
thinnest	!	!
fairer	!	!
fair	joke	joke
fairest	!	!
fair	joke	joke
fairer	!	!
fairest	!	!
mightier	!	!
mighty	joke	joke
mightiest	!	!
mighty	joke	joke
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	joke	joke
noisiest	!	!
noisy	joke	joke
noisier	!	!
noisiest	!	!
kinder	!	!
kind	humid	humid
kindest	!	!
kind	humid	humid
kinder	!	!
kindest	!	!
easier	!	!
easy	moist	moist
easiest	!	!
easy	humid	humid
easier	!	!
easiest	freely	freely
busier	!	!
busy	humid	humid
busiest	!	!
busy	humid	humid
busier	!	!
busiest	!	!
trickier	!	!
tricky	humid	humid
trickiest	!	!
tricky	humid	humid
trickier	!	!
trickiest	!	!
riskier	!	!
risky	humid	humid
riskiest	!	!
risky	humid	humid
riskier	!	!
riskiest	!	!
rougher	!	!
rough	gonna	gonna
roughest	!	!
rough	gonna	gonna
rougher	!	!
roughest	!	!
friendlier	!	!
friendly	gonna	gonna
friendliest	!	!
friendly	gonna	gonna
friendlier	!	!
friendliest	!	!
shorter	!	!
short	pages	useful
shortest	!	!
short	gonna	gonna
shorter	!	!
shortest	drastically	drastically
faster	!	!
fastest	fastest	fastest
fast	!	!
fastest	fastest	fastest
faster	tide	tide
fast	slower	slower
fewer	!	!
few	convex	convex
fewest	!	!
few	gonna	gonna
fewer	!	!
fewest	average	average
stickier	!	!
sticky	poems	poems
stickiest	!	!
sticky	poems	poems
stickier	!	!
stickiest	!	!
messier	!	!
messy	poems	poems
messiest	!	!
messy	poems	poems
messier	!	!
messiest	!	!
leaner	!	!
lean	poems	poems
leanest	!	!
lean	poems	poems
leaner	!	!
leanest	!	!
closer	!	!
close	ancestral	ancestral
closest	!	!
close	specimen	specimen
closer	polling	polling
closest	slowly	slowly
trickier	!	!
tricky	poems	poems
trickiest	!	!
tricky	poems	poems
trickier	!	!
trickiest	!	!
thinner	!	!
thin	loving	loving
thinnest	!	!
thin	loving	loving
thinner	!	!
thinnest	!	!
nicer	!	!
nice	loving	loving
nicest	!	!
nice	loving	loving
nicer	!	!
nicest	!	!
savvier	!	!
savvy	loving	loving
savviest	!	!
savvy	loving	loving
savvier	!	!
savviest	!	!
smarter	!	!
smart	loving	loving
smartest	!	!
smart	loving	loving
smarter	!	!
smartest	!	!
fewer	!	!
few	almost	almost
fewest	!	!
few	loving	loving
fewer	!	!
fewest	average	average
simpler	convex	convex
simple	equations	equations
simplest	convex	convex
simple	!	!
simpler	!	!
simplest	equations	equations
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
greater	centuries	am
great	voivodeship	voivodeship
greatest	centuries	am
great	classics	classics
greater	classics	classics
greatest	voivodeship	voivodeship
luckier	rapper	rapper
lucky	!	!
luckiest	rapper	rapper
lucky	!	!
luckier	!	!
luckiest	!	!
deeper	smooth	smooth
deep	depths	depths
deepest	smooth	smooth
deep	!	!
deeper	!	!
deepest	depths	depths
richer	cultivated	cultivated
rich	!	!
richest	cultivated	cultivated
rich	non-fiction	non-fiction
richer	non-fiction	non-fiction
richest	!	!
louder	angry	angry
loud	!	!
loudest	angry	angry
loud	!	!
louder	!	!
loudest	!	!
rougher	steep	steep
rough	!	!
roughest	steep	steep
rough	!	!
rougher	!	!
roughest	!	!
slower	cello	cello
slow	tuning	tuning
slowest	cello	cello
slow	!	!
slower	!	!
slowest	tuning	tuning
nastier	!	!
nasty	!	!
nastiest	!	!
nasty	!	!
nastier	!	!
nastiest	!	!
slimmer	colorful	colorful
slim	!	!
slimmest	colorful	colorful
slim	!	!
slimmer	!	!
slimmest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
meaner	maximum	maximum
mean	!	!
meanest	maximum	maximum
mean	!	!
meaner	!	!
meanest	!	!
longer	hairy	hairy
long	scope	scope
longest	hairy	hairy
long	length	length
longer	length	length
longest	scope	scope
shorter	minute	minute
short	drastically	drastically
shortest	minute	minute
short	!	!
shorter	!	!
shortest	drastically	drastically
wider	!	!
wide	bias	bias
widest	!	!
wide	trained	trained
wider	!	!
widest	white	white
fairer	!	!
fair	trained	trained
fairest	!	!
fair	trained	trained
fairer	!	!
fairest	!	!
smarter	!	!
smart	trained	trained
smartest	!	!
smart	trained	trained
smarter	!	!
smartest	!	!
deeper	!	!
deep	productivity	productivity
deepest	!	!
deep	trained	trained
deeper	!	!
deepest	depths	depths
luckier	!	!
lucky	trained	trained
luckiest	!	!
lucky	trained	trained
luckier	!	!
luckiest	!	!
earlier	!	!
early	presumed	presumed
earliest	!	!
early	hoffman	hoffman
earlier	attested	attested
earliest	ratios	pittsburgh
pricier	!	!
pricey	rapper	rapper
priciest	!	!
pricey	rapper	rapper
pricier	!	!
priciest	!	!
wider	!	!
wide	fungi	fungi
widest	!	!
wide	rapper	rapper
wider	!	!
widest	white	white
lower	!	!
low	posterior	severely
lowest	!	!
low	drinking	aids
lower	elevations	elevations
lowest	upper	upper
steeper	!	!
steep	rapper	rapper
steepest	!	!
steep	rapper	rapper
steeper	!	!
steepest	!	!
wealthier	!	!
wealthy	limited	limited
wealthiest	!	!
wealthy	limited	limited
wealthier	!	!
wealthiest	!	!
richer	!	!
rich	limited	limited
richest	!	!
rich	exercised	exercised
richer	non-fiction	non-fiction
richest	!	!
faster	!	!
fastest	heavier	accurately
fast	!	!
fastest	modeling	modeling
faster	tide	tide
fast	slower	slower
taller	!	!
tall	limited	limited
tallest	!	!
tall	plaque	plaque
taller	landmarks	landmarks
tallest	!	!
luckier	!	!
lucky	limited	limited
luckiest	!	!
lucky	limited	limited
luckier	!	!
luckiest	!	!
wider	!	!
wide	fitted	justify
widest	!	!
wide	angry	angry
wider	!	!
widest	white	white
slower	!	!
slow	abnormal	abnormal
slowest	!	!
slow	angry	angry
slower	!	!
slowest	tuning	tuning
friendlier	!	!
friendly	angry	angry
friendliest	!	!
friendly	angry	angry
friendlier	!	!
friendliest	!	!
easier	!	!
easy	cheaper	abnormal
easiest	!	!
easy	angry	angry
easier	!	!
easiest	freely	freely
colder	!	!
cold	angry	angry
coldest	!	!
cold	angry	angry
colder	!	!
coldest	!	!
lower	!	!
low	upper	consumption
lowest	!	!
low	nutrients	nutrients
lower	elevations	elevations
lowest	upper	upper
darker	!	!
dark	forewings	feeding
darkest	!	!
dark	fatty	fatty
darker	!	!
darkest	forewings	forewings
safer	!	!
safe	fatty	fatty
safest	!	!
safe	fatty	fatty
safer	!	!
safest	!	!
faster	!	!
fastest	consumption	consumption
fast	!	!
fastest	dive	dive
faster	tide	tide
fast	slower	slower
fresher	!	!
fresh	fatty	fatty
freshest	!	!
fresh	fatty	fatty
fresher	!	!
freshest	!	!
thinner	!	!
thin	coconut	coconut
thinnest	!	!
thin	coconut	coconut
thinner	!	!
thinnest	!	!
simpler	!	!
simple	synthetic	synthetic
simplest	!	!
simple	coconut	coconut
simpler	!	!
simplest	equations	equations
firmer	!	!
firm	coconut	coconut
firmest	!	!
firm	coconut	coconut
firmer	!	!
firmest	!	!
gentler	!	!
gentle	coconut	coconut
gentlest	!	!
gentle	coconut	coconut
gentler	!	!
gentlest	!	!
livelier	!	!
lively	coconut	coconut
liveliest	!	!
lively	coconut	coconut
livelier	!	!
liveliest	!	!
greener	livery	livery
green	!	!
greenest	livery	livery
green	!	!
greener	!	!
greenest	!	!
cheaper	cheaper	cheaper
cheap	economical	economical
cheapest	cheaper	cheaper
cheap	!	!
cheaper	!	!
cheapest	economical	economical
stickier	!	!
sticky	!	!
stickiest	!	!
sticky	!	!
stickier	!	!
stickiest	!	!
fatter	fatty	fatty
fat	!	!
fattest	fatty	fatty
fat	!	!
fatter	!	!
fattest	!	!
harder	myself	myself
hard	ones	ones
hardest	myself	myself
hard	!	!
harder	!	!
hardest	ones	ones
milder	humid	humid
mild	!	!
mildest	humid	humid
mild	!	!
milder	!	!
mildest	!	!
thinner	forewings	forewings
thin	!	!
thinnest	forewings	forewings
thin	!	!
thinner	!	!
thinnest	!	!
poorer	widespread	widespread
poor	!	!
poorest	widespread	widespread
poor	!	!
poorer	!	!
poorest	!	!
lower	emission	emission
low	upper	upper
lowest	emission	emission
low	elevations	elevations
lower	elevations	elevations
lowest	upper	upper
quicker	pace	pace
quick	!	!
quickest	pace	pace
quick	!	!
quicker	!	!
quickest	!	!
newer	!	!
new	suppression	suppression
newest	!	!
new	auxiliary	auxiliary
newer	beta	beta
newest	browser	browser
tougher	!	!
tough	eu	eu
toughest	!	!
tough	eu	eu
tougher	!	!
toughest	!	!
quicker	!	!
quick	eu	eu
quickest	!	!
quick	eu	eu
quicker	!	!
quickest	!	!
costlier	!	!
costly	eu	eu
costliest	!	!
costly	eu	eu
costlier	!	!
costliest	!	!
shorter	!	!
short	cyclists	cyclists
shortest	!	!
short	eu	eu
shorter	!	!
shortest	drastically	drastically
louder	!	!
loud	mask	mask
loudest	!	!
loud	mask	mask
louder	!	!
loudest	!	!
nastier	!	!
nasty	mask	mask
nastiest	!	!
nasty	mask	mask
nastier	!	!
nastiest	!	!
greater	!	!
great	bias	bias
greatest	!	!
great	ricky	ricky
greater	classics	classics
greatest	voivodeship	voivodeship
wiser	!	!
wise	mask	mask
wisest	!	!
wise	mask	mask
wiser	!	!
wisest	!	!
closer	!	!
close	bias	bias
closest	!	!
close	bias	bias
closer	polling	polling
closest	slowly	slowly
thicker	centimeters	centimeters
thick	!	!
thickest	centimeters	centimeters
thick	!	!
thicker	!	!
thickest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
simpler	convex	convex
simple	equations	equations
simplest	convex	convex
simple	!	!
simpler	!	!
simplest	equations	equations
busier	shed	shed
busy	!	!
busiest	shed	shed
busy	!	!
busier	!	!
busiest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
worse	neglect	neglect
bad	confident	confident
worst	neglect	neglect
bad	emmy	emmy
worse	emmy	emmy
worst	confident	confident
fatter	fatty	fatty
fat	!	!
fattest	fatty	fatty
fat	!	!
fatter	!	!
fattest	!	!
lower	emission	emission
low	upper	upper
lowest	emission	emission
low	elevations	elevations
lower	elevations	elevations
lowest	upper	upper
steeper	rocky	rocky
steep	!	!
steepest	rocky	rocky
steep	!	!
steeper	!	!
steepest	!	!
friendlier	eu	eu
friendly	!	!
friendliest	eu	eu
friendly	!	!
friendlier	!	!
friendliest	!	!
smaller	!	!
small	fungi	fungi
smallest	!	!
small	endemic	endemic
smaller	rows	rows
smallest	greater	greater
cheaper	!	!
cheap	aquarium	aquarium
cheapest	!	!
cheap	cerambycidae	cerambycidae
cheaper	!	!
cheapest	economical	economical
tighter	!	!
tight	cerambycidae	cerambycidae
tightest	!	!
tight	cerambycidae	cerambycidae
tighter	!	!
tightest	!	!
happier	!	!
happy	cerambycidae	cerambycidae
happiest	!	!
happy	cerambycidae	cerambycidae
happier	!	!
happiest	!	!
harsher	!	!
harsh	cerambycidae	cerambycidae
harshest	!	!
harsh	cerambycidae	cerambycidae
harsher	!	!
harshest	!	!
higher	low	low
high	averages	averages
highest	low	low
high	primera	primera
higher	primera	primera
highest	averages	averages
prettier	gonna	gonna
pretty	!	!
prettiest	gonna	gonna
pretty	!	!
prettier	!	!
prettiest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	coconut	coconut
fresh	!	!
freshest	coconut	coconut
fresh	!	!
fresher	!	!
freshest	!	!
faster	best-selling	best-selling
fastest	slower	slower
fast	best-selling	best-selling
fastest	tide	tide
faster	tide	tide
fast	slower	slower
worse	neglect	neglect
bad	confident	confident
worst	neglect	neglect
bad	emmy	emmy
worse	emmy	emmy
worst	confident	confident
higher	low	low
high	averages	averages
highest	low	low
high	primera	primera
higher	primera	primera
highest	averages	averages
costlier	limited	limited
costly	!	!
costliest	limited	limited
costly	!	!
costlier	!	!
costliest	!	!
firmer	equity	equity
firm	!	!
firmest	equity	equity
firm	!	!
firmer	!	!
firmest	!	!
steeper	rocky	rocky
steep	!	!
steepest	rocky	rocky
steep	!	!
steeper	!	!
steepest	!	!
greener	!	!
green	windows	windows
greenest	!	!
green	windows	windows
greener	!	!
greenest	!	!
smaller	!	!
small	terminals	terminals
smallest	!	!
small	headquartered	communications
smaller	rows	rows
smallest	greater	greater
narrower	!	!
narrow	windows	windows
narrowest	!	!
narrow	windows	windows
narrower	!	!
narrowest	!	!
cleaner	!	!
clean	windows	windows
cleanest	!	!
clean	windows	windows
cleaner	!	!
cleanest	!	!
riskier	!	!
risky	windows	windows
riskiest	!	!
risky	windows	windows
riskier	!	!
riskiest	!	!
newer	!	!
new	refugees	refugees
newest	!	!
new	refugees	refugees
newer	beta	beta
newest	browser	browser
wilder	!	!
wild	slot	slot
wildest	!	!
wild	slot	slot
wilder	!	!
wildest	!	!
narrower	!	!
narrow	slot	slot
narrowest	!	!
narrow	slot	slot
narrower	!	!
narrowest	!	!
safer	!	!
safe	slot	slot
safest	!	!
safe	slot	slot
safer	!	!
safest	!	!
faster	!	!
fastest	fastest	fastest
fast	!	!
fastest	fastest	fastest
faster	tide	tide
fast	slower	slower
meaner	!	!
mean	clashes	clashes
meanest	!	!
mean	clashes	clashes
meaner	!	!
meanest	!	!
heavier	!	!
heavy	170	170
heaviest	!	!
heavy	clashes	clashes
heavier	!	!
heaviest	torque	torque
nicer	!	!
nice	clashes	clashes
nicest	!	!
nice	clashes	clashes
nicer	!	!
nicest	!	!
faster	!	!
fastest	frustrated	frustrated
fast	!	!
fastest	exported	exported
faster	tide	tide
fast	slower	slower
leaner	!	!
lean	clashes	clashes
leanest	!	!
lean	clashes	clashes
leaner	!	!
leanest	!	!
weaker	ions	ions
weak	!	!
weakest	ions	ions
weak	!	!
weaker	!	!
weakest	!	!
darker	forewings	forewings
dark	forewings	forewings
darkest	forewings	forewings
dark	!	!
darker	!	!
darkest	forewings	forewings
rougher	steep	steep
rough	!	!
roughest	steep	steep
rough	!	!
rougher	!	!
roughest	!	!
mightier	slot	slot
mighty	!	!
mightiest	slot	slot
mighty	!	!
mightier	!	!
mightiest	!	!
wiser	jessie	jessie
wise	!	!
wisest	jessie	jessie
wise	!	!
wiser	!	!
wisest	!	!
laws	punished	punished
law	ban	ban
products	packaging	packaging
product	textiles	textiles
changes	cooling	cooling
change	powered	powered
citizens	reasonable	reasonable
citizen	nationals	nationals
teachers	retirement	retirement
teacher	sophomore	sophomore
things	locals	locals
thing	mortal	mortal
minutes	201011	201011
minute	minute	minute
dollars	currency	currency
dollar	defendant	defendant
areas	ha	ha
area	hierarchy	hierarchy
cities	201011	201011
city	heirs	counts
streets	parkway	parkway
street	saturday	saturday
months	infections	infections
month	1917	1917
conditions	sensory	infections
condition	applications	applications
countries	prestige	prestige
country	kenya	kenya
operations	amphibious	explosives
operation	ordered	ordered
schools	salary	salary
school	association	association
results	pastoral	defendants
result	runner-up	runner-up
parents	applicants	applicants
parent	daughters	marquess
charges	firing	firing
charge	tribunal	ordnance
students	students	students
student	madras	madras
employees	tom	vehicles
employee	adams	adams
workers	householder	cartoonist
worker	muscle	muscle
miles	km	miles
mile	shipping	shipping
ways	racism	racism
way	modeling	modeling
decisions	1883	1883
decision	implementing	implementing
